date,name,pos_percentage,voters_count,url
2017-10-12,Monopolka,54,24,https://store.steampowered.com/app/699680/Monopolka/?snr=1_7_7_240_150_43
2017-11-6,Need for Speed™ Payback,90,150,https://store.steampowered.com/app/1262580/Need_for_Speed_Payback/?snr=1_7_7_240_150_36
2017-4-1,Pro 11 - Football Manager Game,72,141,https://store.steampowered.com/app/844960/Pro_11__Football_Manager_Game/?snr=1_7_7_240_150_48
2017-8-1,Blue Box Game: BBA SLAM,,,https://store.steampowered.com/app/1214894/Blue_Box_Game_BBA_SLAM/?snr=1_7_7_240_150_26
2017-9-8,Academia : School Simulator,90,30,https://store.steampowered.com/app/672630/Academia__School_Simulator/?snr=1_7_7_240_150_12
2018-1-17,Caves and Castles: Underworld,,,https://store.steampowered.com/app/1182770/Caves_and_Castles_Underworld/?snr=1_7_7_240_150_56
2018-10-14,Onslaught: Armoured Assault,,,https://store.steampowered.com/app/1049910/Onslaught_Armoured_Assault/?snr=1_7_7_240_150_48
2018-10-30,Space Castle,,,https://store.steampowered.com/app/1341090/Space_Castle/?snr=1_7_7_240_150_20
2018-11-15,Armored Brigade,90,143,https://store.steampowered.com/app/1089840/Armored_Brigade/?snr=1_7_7_240_150_57
2018-11-16,Bad North: Jotunn Edition,94,150,https://store.steampowered.com/app/688420/Bad_North_Jotunn_Edition/?snr=1_7_7_240_150_56
2018-11-2,Safe,,,https://store.steampowered.com/app/920780/Safe/?snr=1_7_7_240_150_14
2018-11-28,Incredible Dracula: The Ice Kingdom,,,https://store.steampowered.com/app/1175170/Incredible_Dracula_The_Ice_Kingdom/?snr=1_7_7_240_150_57
2018-12-3,Andor - Wrecking Dawn,77,83,https://store.steampowered.com/app/867420/Andor__Wrecking_Dawn/?snr=1_7_7_240_150_3
2018-2-1,Freeman: Guerrilla Warfare,91,82,https://store.steampowered.com/app/773951/Freeman_Guerrilla_Warfare/?snr=1_7_7_240_150_59
2018-2-19,Tri Wing,,,https://store.steampowered.com/app/788750/Tri_Wing/?snr=1_7_7_240_150_52
2018-2-28,King of the Sandcastle,,,https://store.steampowered.com/app/1135060/King_of_the_Sandcastle/?snr=1_7_7_240_150_51
2018-2-4,Kirchhoff's Revenge,77,103,https://store.steampowered.com/app/801120/Kirchhoffs_Revenge/?snr=1_7_7_240_150_52
2018-3-1,Command:MO - The Silent Service,,,https://store.steampowered.com/app/1182293/CommandMO__The_Silent_Service/?snr=1_7_7_240_150_56
2018-3-5,Brutal Inventions,28,14,https://store.steampowered.com/app/767310/Brutal_Inventions/?snr=1_7_7_240_150_52
2018-4-20,World War 2: Strategy Simulator,,,https://store.steampowered.com/app/1401170/World_War_2_Strategy_Simulator/?snr=1_7_7_240_150_26
2018-4-5,Robotics in VR,82,23,https://store.steampowered.com/app/783070/Robotics_in_VR/?snr=1_7_7_240_150_45
2018-5-8,TeamJumpers,57,38,https://store.steampowered.com/app/1332610/TeamJumpers/?snr=1_7_7_240_150_38
2018-5-8,TeamJumpers,57,38,https://store.steampowered.com/app/1332610/TeamJumpers/?snr=1_7_7_240_150_38
2018-6-14,Hope of Humanity,32,25,https://store.steampowered.com/app/868710/Hope_of_Humanity/?snr=1_7_7_240_150_37
2018-6-20,Zoo Packs,,,https://store.steampowered.com/app/1135150/Zoo_Packs/?snr=1_7_7_240_150_51
2018-7-17,Blood Bowl 2 - DEATH ZONE,0,16,https://store.steampowered.com/app/1300450/Blood_Bowl_2__DEATH_ZONE/?snr=1_7_7_240_150_39
2018-7-6,The Island Combat,,,https://store.steampowered.com/app/886310/The_Island_Combat/?snr=1_7_7_240_150_1
2018-8-17,Geocells Tricells,,,https://store.steampowered.com/app/859960/Geocells_Tricells/?snr=1_7_7_240_150_53
2018-8-3,The Warrior War,,,https://store.steampowered.com/app/882460/The_Warrior_War/?snr=1_7_7_240_150_1
2018-8-6,Cave to Kingdom,43,23,https://store.steampowered.com/app/1199640/Cave_to_Kingdom/?snr=1_7_7_240_150_53
2018-9-1,Dishwasher,,,https://store.steampowered.com/app/878310/Dishwasher/?snr=1_7_7_240_150_14
2018-9-12,soko loco,,,https://store.steampowered.com/app/1135200/soko_loco/?snr=1_7_7_240_150_51
2018-9-19,Incredible Dracula: Vargosi Returns,,,https://store.steampowered.com/app/1175150/Incredible_Dracula_Vargosi_Returns/?snr=1_7_7_240_150_58
2019-1-22,Bestiary of Sigillum,93,45,https://store.steampowered.com/app/922530/Bestiary_of_Sigillum/?snr=1_7_7_240_150_41
2019-1-25,Classic Card Game Gin Rummy,,,https://store.steampowered.com/app/1231760/Classic_Card_Game_Gin_Rummy/?snr=1_7_7_240_150_50
2019-1-28,The Devil's Calculator,93,44,https://store.steampowered.com/app/1014280/The_Devils_Calculator/?snr=1_7_7_240_150_59
2019-1-30,Dreamland Solitaire,100,12,https://store.steampowered.com/app/1149590/Dreamland_Solitaire/?snr=1_7_7_240_150_60
2019-1-31,Command:MO LIVE - The King of the Border,,,https://store.steampowered.com/app/1182308/CommandMO_LIVE__The_King_of_the_Border/?snr=1_7_7_240_150_56
2019-1-31,Expanse,,,https://store.steampowered.com/app/1006680/Expanse/?snr=1_7_7_240_150_57
2019-1-4,Peppered,,,https://store.steampowered.com/app/1213600/Peppered/?snr=1_7_7_240_150_51
2019-10-1,Zen Chess: Blindfold Masters,78,14,https://store.steampowered.com/app/1108550/Zen_Chess_Blindfold_Masters/?snr=1_7_7_240_150_59
2019-10-1,Zen Chess: Champion's Moves,76,17,https://store.steampowered.com/app/1108540/Zen_Chess_Champions_Moves/?snr=1_7_7_240_150_59
2019-10-1,Fabulous - New York to LA,84,19,https://store.steampowered.com/app/1005060/Fabulous__New_York_to_LA/?snr=1_7_7_240_150_59
2019-10-1,三国时代2,91,23,https://store.steampowered.com/app/1154470/2/?snr=1_7_7_240_150_58
2019-10-1,三国时代2,91,23,https://store.steampowered.com/app/1154470/2/?snr=1_7_7_240_150_59
2019-10-1,1001 Hugs,74,54,https://store.steampowered.com/app/1157020/1001_Hugs/?snr=1_7_7_240_150_60
2019-10-1,1001 Hugs,74,54,https://store.steampowered.com/app/1157020/1001_Hugs/?snr=1_7_7_240_150_60
2019-10-1,我是院长 - 模拟经营医院游戏,,,https://store.steampowered.com/app/1163100/_/?snr=1_7_7_240_150_58
2019-10-1,Fantasy Grounds - Meanders Token Pack 7 (Token Pack),,,https://store.steampowered.com/app/1165210/Fantasy_Grounds__Meanders_Token_Pack_7_Token_Pack/?snr=1_7_7_240_150_59
2019-10-1,Fantasy Grounds - Tomb of Tiberesh (5E),,,https://store.steampowered.com/app/1165160/Fantasy_Grounds__Tomb_of_Tiberesh_5E/?snr=1_7_7_240_150_59
2019-10-1,Fantasy Grounds - Pathfinder 2 RPG - Age of Ashes AP 4: Fires of the Haunted City (PFRPG2),,,https://store.steampowered.com/app/1165940/Fantasy_Grounds__Pathfinder_2_RPG__Age_of_Ashes_AP_4_Fires_of_the_Haunted_City_PFRPG2/?snr=1_7_7_240_150_59
2019-10-1,Fantasy Grounds - Pathfinder RPG - Advanced Class Guide (PFRPG),,,https://store.steampowered.com/app/1165200/Fantasy_Grounds__Pathfinder_RPG__Advanced_Class_Guide_PFRPG/?snr=1_7_7_240_150_59
2019-10-1,Fantasy Grounds - Dungeon Crawl Classics #78: Fate's Fell Hand (DCC),,,https://store.steampowered.com/app/1164490/Fantasy_Grounds__Dungeon_Crawl_Classics_78_Fates_Fell_Hand_DCC/?snr=1_7_7_240_150_59
2019-10-1,Fantasy Grounds - D&D Divine Contention,,,https://store.steampowered.com/app/1158530/Fantasy_Grounds__DD_Divine_Contention/?snr=1_7_7_240_150_59
2019-10-1,Fantasy Grounds - D&D Sleeping Dragon's Wake,,,https://store.steampowered.com/app/1156240/Fantasy_Grounds__DD_Sleeping_Dragons_Wake/?snr=1_7_7_240_150_59
2019-10-1,Fantasy Grounds - D&D Storm Lord's Wrath,,,https://store.steampowered.com/app/1156160/Fantasy_Grounds__DD_Storm_Lords_Wrath/?snr=1_7_7_240_150_59
