,date,name,pos_percentage,voters_count,url
57,2015-11-16,STAR WARS™ Battlefront,83.0,79.0,https://store.steampowered.com/app/1237980/STAR_WARS_Battlefront/?snr=1_7_7_240_150_37
58,2015-12-18,The Withering,51.0,327.0,https://store.steampowered.com/app/427950/The_Withering/?snr=1_7_7_240_150_56
62,2016-01-15,Miolhr,,,https://store.steampowered.com/app/418430/Miolhr/?snr=1_7_7_240_150_2
63,2016-01-22,Blue Box Game: Llama Goes to Market,,,https://store.steampowered.com/app/1214891/Blue_Box_Game_Llama_Goes_to_Market/?snr=1_7_7_240_150_26
64,2016-04-29,Vengeance,79.0,227.0,https://store.steampowered.com/app/384960/Vengeance/?snr=1_7_7_240_150_41
65,2016-04-29,Vengeance,79.0,227.0,https://store.steampowered.com/app/384960/Vengeance/?snr=1_7_7_240_150_42
67,2016-08-08,Yellowlooper,,,https://store.steampowered.com/app/1515730/Yellowlooper/?snr=1_7_7_240_150_13
66,2016-08-23,"Command:MO LIVE - You Brexit, You Fix it!",,,https://store.steampowered.com/app/1182309/CommandMO_LIVE__You_Brexit_You_Fix_it/?snr=1_7_7_240_150_56
68,2017-01-03,Nocko,,,https://store.steampowered.com/app/1548060/Nocko/?snr=1_7_7_240_150_8
72,2017-04-01,Pro 11 - Football Manager Game,72.0,141.0,https://store.steampowered.com/app/844960/Pro_11__Football_Manager_Game/?snr=1_7_7_240_150_48
73,2017-08-01,Blue Box Game: BBA SLAM,,,https://store.steampowered.com/app/1214894/Blue_Box_Game_BBA_SLAM/?snr=1_7_7_240_150_26
74,2017-09-08,Academia : School Simulator,90.0,30.0,https://store.steampowered.com/app/672630/Academia__School_Simulator/?snr=1_7_7_240_150_12
69,2017-10-01,NationWar:Chronicles | 国战:列国志传,68.0,375.0,https://store.steampowered.com/app/669320/NationWarChronicles/?snr=1_7_7_240_150_3
70,2017-10-12,Monopolka,54.0,24.0,https://store.steampowered.com/app/699680/Monopolka/?snr=1_7_7_240_150_43
71,2017-11-06,Need for Speed™ Payback,90.0,150.0,https://store.steampowered.com/app/1262580/Need_for_Speed_Payback/?snr=1_7_7_240_150_36
75,2018-01-17,Caves and Castles: Underworld,,,https://store.steampowered.com/app/1182770/Caves_and_Castles_Underworld/?snr=1_7_7_240_150_56
83,2018-02-01,Freeman: Guerrilla Warfare,91.0,82.0,https://store.steampowered.com/app/773951/Freeman_Guerrilla_Warfare/?snr=1_7_7_240_150_59
86,2018-02-04,Kirchhoff's Revenge,77.0,103.0,https://store.steampowered.com/app/801120/Kirchhoffs_Revenge/?snr=1_7_7_240_150_52
84,2018-02-19,Tri Wing,,,https://store.steampowered.com/app/788750/Tri_Wing/?snr=1_7_7_240_150_52
85,2018-02-28,King of the Sandcastle,,,https://store.steampowered.com/app/1135060/King_of_the_Sandcastle/?snr=1_7_7_240_150_51
87,2018-03-01,Command:MO - The Silent Service,,,https://store.steampowered.com/app/1182293/CommandMO__The_Silent_Service/?snr=1_7_7_240_150_56
88,2018-03-05,Brutal Inventions,28.0,14.0,https://store.steampowered.com/app/767310/Brutal_Inventions/?snr=1_7_7_240_150_52
90,2018-04-05,Robotics in VR,82.0,23.0,https://store.steampowered.com/app/783070/Robotics_in_VR/?snr=1_7_7_240_150_45
89,2018-04-20,World War 2: Strategy Simulator,,,https://store.steampowered.com/app/1401170/World_War_2_Strategy_Simulator/?snr=1_7_7_240_150_26
91,2018-05-08,TeamJumpers,57.0,38.0,https://store.steampowered.com/app/1332610/TeamJumpers/?snr=1_7_7_240_150_38
92,2018-05-08,TeamJumpers,57.0,38.0,https://store.steampowered.com/app/1332610/TeamJumpers/?snr=1_7_7_240_150_38
93,2018-06-14,Hope of Humanity,32.0,25.0,https://store.steampowered.com/app/868710/Hope_of_Humanity/?snr=1_7_7_240_150_37
94,2018-06-20,Zoo Packs,,,https://store.steampowered.com/app/1135150/Zoo_Packs/?snr=1_7_7_240_150_51
