date,name,pos_percentage,voters_count,url
2019-03-18,TouHou Nil Soul,83.0,112.0,https://store.steampowered.com/app/941300/TouHou_Nil_Soul/?snr=1_7_7_240_150_47
2019-04-01,Tank Royale,90.0,43.0,https://store.steampowered.com/app/929140/Tank_Royale/?snr=1_7_7_240_150_60
2019-04-05,GOLF in PAPER,,,https://store.steampowered.com/app/1060060/GOLF_in_PAPER/?snr=1_7_7_240_150_53
2019-04-18,Driftland: The Magic Revival,76.0,1013.0,https://store.steampowered.com/app/718650/Driftland_The_Magic_Revival/?snr=1_7_7_240_150_18
2019-04-26,Moonlight thief,,,https://store.steampowered.com/app/1006830/Moonlight_thief/?snr=1_7_7_240_150_40
2019-05-03,Quiet Sleep,36.0,22.0,https://store.steampowered.com/app/1061240/Quiet_Sleep/?snr=1_7_7_240_150_12
2019-05-16,夜之归途 Night Homing,50.0,20.0,https://store.steampowered.com/app/964240/_Night_Homing/?snr=1_7_7_240_150_57
2019-05-19,Pear Quest,80.0,21.0,https://store.steampowered.com/app/1134630/Pear_Quest/?snr=1_7_7_240_150_50
2019-05-22,Mechanic Miner,61.0,140.0,https://store.steampowered.com/app/745010/Mechanic_Miner/?snr=1_7_7_240_150_48
2019-05-31,新巨商,,,https://store.steampowered.com/app/1042590/_/?snr=1_7_7_240_150_59
2019-06-03,Elven Magic SE Moon,,,https://store.steampowered.com/app/1018890/Elven_Magic_SE_Moon/?snr=1_7_7_240_150_36
2019-06-04,Il Sole e la Luna,,,https://store.steampowered.com/app/1081960/Il_Sole_e_la_Luna/?snr=1_7_7_240_150_57
2019-06-27,Trysaria,,,https://store.steampowered.com/app/1049490/Trysaria/?snr=1_7_7_240_150_50
2019-07-09,SINNERS,100.0,11.0,https://store.steampowered.com/app/990020/SINNERS/?snr=1_7_7_240_150_53
2019-07-09,One Gun 2: Stickman,,,https://store.steampowered.com/app/1124380/One_Gun_2_Stickman/?snr=1_7_7_240_150_56
2019-07-10,Bhavacakra Maco,93.0,15.0,https://store.steampowered.com/app/1121000/Bhavacakra_Maco/?snr=1_7_7_240_150_26
2019-07-10,Endless RPG,79.0,29.0,https://store.steampowered.com/app/1090930/Endless_RPG/?snr=1_7_7_240_150_54
2019-07-14,Back To Hell,,,https://store.steampowered.com/app/1109280/Back_To_Hell/?snr=1_7_7_240_150_49
2019-07-17,The Saga of Nino's Transmigration (尼諾的異世界物語 ~ 光與影與各自的信仰 ~),93.0,171.0,https://store.steampowered.com/app/1078960/The_Saga_of_Ninos_Transmigration/?snr=1_7_7_240_150_58
2019-07-18,白石洲往事,27.0,43.0,https://store.steampowered.com/app/1101980/_/?snr=1_7_7_240_150_47
2019-08-01,Hashiriya Drifter-Online Drift Racing Multiplayer (DRIFT/DRAG/RACING),80.0,141.0,https://store.steampowered.com/app/1336560/Hashiriya_DrifterOnline_Drift_Racing_Multiplayer_DRIFTDRAGRACING/?snr=1_7_7_240_150_34
2019-08-08,Stone Story RPG,90.0,11.0,https://store.steampowered.com/app/603390/Stone_Story_RPG/?snr=1_7_7_240_150_22
2019-08-08,Blades of Worlds,,,https://store.steampowered.com/app/869410/Blades_of_Worlds/?snr=1_7_7_240_150_29
